# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       2.230        0.000       56.078      318.926
       2.237      141.800       56.078      318.926
       2.244        0.000       56.078      318.926
       2.252        0.000       56.078      318.926
       2.259        0.000       56.078      318.926
       2.266        0.000       56.336      319.176
       2.273        0.000       56.336      319.176
       2.280        0.000       56.336      319.176
       2.287        0.000       56.336      319.176
       2.295      140.700       56.336      319.305
       2.303        0.000       56.566      321.391
       2.310        0.000       56.566      321.391
       2.317        0.000       56.566      321.391
       2.325        0.000       56.566      321.391
       2.334        0.000       56.566      321.391
       2.343        0.000       56.566      321.391
       2.349        0.000       56.566      321.391
       2.356        0.000       56.566      321.391
       2.365        0.000       56.566      321.391
       2.372        0.000       56.566      321.391
       2.379        0.000       56.566      321.391
       2.387        0.000       56.566      321.391
       2.395        0.000       56.566      321.391
       2.403        0.000       56.566      321.641
       2.409        0.000       56.566      321.641
       2.416        0.000       56.879      324.227
       2.424        0.000       56.883      324.227
       2.434      105.700       57.469      324.383
       2.442      121.200       57.543      326.848
       2.448        0.000       57.543      326.848
       2.455        0.000       57.543      326.848
       2.462        0.000       57.543      326.848
       2.469        0.000       57.543      326.848
       2.476        0.000       57.543      326.848
       2.483        0.000       57.855      328.855
       2.490        0.000       57.984      333.020
       2.497        0.000       57.984      333.020
       2.503      149.500       58.555      333.426
       2.510        0.000       58.555      333.426
       2.519        0.000       58.812      333.926
       2.527      137.400       58.812      334.078
       2.533        0.000       58.812      334.078
       2.540        0.000       58.812      334.078
       2.548        0.000       58.812      334.078
       2.554        0.000       58.812      334.078
       2.561        0.000       58.812      334.078
       2.569        0.000       59.070      334.328
       2.576        0.000       59.070      334.328
       2.582        0.000       59.070      334.328
       2.589        0.000       59.070      334.328
       2.597        0.000       59.461      336.402
       2.604        0.000       59.461      336.402
       2.610        0.000       59.461      336.402
       2.616        0.000       59.461      336.402
       2.625        0.000       59.461      336.402
       2.632        0.000       59.461      336.402
       2.638        0.000       59.461      336.402
       2.646        0.000       59.461      336.402
       2.655        0.000       59.461      336.402
       2.663        0.000       59.461      336.402
       2.670      152.700       59.461      336.402
       2.678        0.000       59.461      336.402
       2.688        0.000       59.461      336.652
       2.697        0.000       59.461      336.652
       2.704        0.000       59.461      336.652
       2.711        0.000       59.461      336.652
       2.718        0.000       59.758      336.652
       2.725        0.000       59.758      336.652
       2.732        0.000       59.758      336.652
       2.739        0.000       59.758      336.652
       2.747        0.000       59.758      337.047
       2.755      122.900       60.016      337.047
       2.762        0.000       60.273      337.297
       2.769      141.500       60.273      337.441
       2.776        0.000       60.789      337.691
       2.783        0.000       60.789      337.691
       2.790        0.000       60.789      337.691
       2.798        0.000       60.789      337.941
       2.805        0.000       60.789      337.941
       2.812        0.000       60.789      337.941
       2.819        0.000       60.789      337.941
       2.826        0.000       60.789      337.941
       2.833        0.000       60.789      337.941
       2.840        0.000       60.789      337.941
       2.849        0.000       60.789      337.941
       2.859       95.600       61.047      338.117
       2.870        0.000       61.113      339.602
       2.889        0.000       61.250      338.117
       2.908      108.300       61.586      338.367
       2.917        0.000       61.750      338.617
       2.927        0.000       61.750      338.617
       2.935        0.000       61.750      338.617
       2.942        0.000       61.762      338.617
       2.950        0.000       61.762      340.625
       2.959        0.000       61.762      340.625
       2.967      117.700       61.973      340.809
       2.975        0.000       61.973      340.809
       2.982        0.000       62.188      341.188
       2.990      137.700       62.340      341.344
       2.997        0.000       62.680      341.594
       3.004        0.000       62.680      341.594
       3.011        0.000       62.832      341.594
       3.018        0.000       62.832      341.594
       3.025        0.000       62.832      341.594
       3.032        0.000       62.832      341.594
       3.039        0.000       62.832      341.594
       3.046        0.000       63.020      341.895
       3.053        0.000       63.020      341.895
       3.059        0.000       63.020      341.895
       3.066        0.000       63.145      342.145
       3.074        0.000       63.145      342.145
       3.082      125.600       63.145      342.320
       3.089        0.000       63.145      342.320
       3.097        0.000       63.336      342.320
       3.104        0.000       63.336      342.320
       3.112      131.800       63.336      342.320
       3.119        0.000       63.598      342.570
       3.125      151.300       63.637      342.570
       3.133      135.900       63.953      342.840
       3.140        0.000       63.953      342.840
       3.147        0.000       63.953      342.840
       3.154      144.800       64.070      343.090
       3.161        0.000       64.070      343.090
       3.167        0.000       64.070      343.090
       3.174        0.000       64.070      343.090
       3.180        0.000       64.070      343.090
       3.187        0.000       64.070      343.090
       3.194        0.000       64.070      343.090
       3.201      149.100       64.070      343.090
       3.208        0.000       64.070      343.090
       3.214        0.000       64.070      343.090
       3.221        0.000       64.070      343.090
       3.228        0.000       64.273      343.340
       3.234      149.100       64.273      343.340
       3.243      109.000       64.523      343.340
       3.251        0.000       64.523      343.340
       3.258        0.000       64.523      343.340
       3.264        0.000       64.523      343.340
       3.270        0.000       64.523      343.340
       3.277        0.000       64.523      343.340
       3.283        0.000       64.523      343.340
       3.290        0.000       64.523      343.340
       3.297        0.000       64.523      343.340
       3.304        0.000       64.523      343.340
